Frequency (Hz)	Level (dB)
5.383301	-76.147697
10.766602	-76.022781
16.149902	-64.382568
21.533203	-51.556778
26.916504	-53.521461
32.299805	-58.460167
37.683105	-55.545326
43.066406	-51.655613
48.449707	-49.792614
53.833008	-49.288933
59.216309	-48.391155
64.599609	-48.887112
69.982910	-49.801430
75.366211	-50.839901
80.749512	-51.067440
86.132812	-51.629940
91.516113	-51.799171
96.899414	-50.984348
102.282715	-50.935482
107.666016	-50.590221
113.049316	-51.689884
118.432617	-52.312160
123.815918	-54.329109
129.199219	-54.964230
134.582520	-55.201881
139.965820	-56.012230
145.349121	-56.201382
150.732422	-55.029808
156.115723	-56.327785
161.499023	-56.545147
166.882324	-56.377701
172.265625	-57.280056
177.648926	-58.649651
183.032227	-57.973164
188.415527	-56.688168
193.798828	-58.185074
199.182129	-59.078152
204.565430	-60.300785
209.948730	-60.737911
215.332031	-59.534214
220.715332	-59.001186
226.098633	-58.361279
231.481934	-56.768799
236.865234	-54.934654
242.248535	-54.794395
247.631836	-54.390007
253.015137	-53.637856
258.398438	-54.072758
263.781738	-54.212330
269.165039	-54.577240
274.548340	-55.049175
279.931641	-54.756748
285.314941	-54.168472
290.698242	-54.114319
296.081543	-53.759350
301.464844	-54.176857
306.848145	-55.266235
312.231445	-56.863518
317.614746	-58.056934
322.998047	-58.886410
328.381348	-58.326725
333.764648	-56.805161
339.147949	-56.020866
344.531250	-55.747467
349.914551	-55.718395
355.297852	-56.178268
360.681152	-57.089325
366.064453	-57.334061
371.447754	-58.085583
376.831055	-58.560997
382.214355	-58.857819
387.597656	-59.796093
392.980957	-60.938354
398.364258	-61.616268
403.747559	-61.289707
409.130859	-60.320030
414.514160	-59.836182
419.897461	-60.159733
425.280762	-60.134548
430.664062	-60.503601
436.047363	-61.514938
441.430664	-60.903709
446.813965	-61.131557
452.197266	-60.872257
457.580566	-60.555771
462.963867	-60.560925
468.347168	-61.042778
473.730469	-61.616447
479.113770	-62.004101
484.497070	-62.127140
489.880371	-62.733376
495.263672	-62.134361
500.646973	-61.464153
506.030273	-60.327740
511.413574	-59.059612
516.796875	-58.094227
522.180176	-58.041389
527.563477	-58.172749
532.946777	-57.574379
538.330078	-57.860031
543.713379	-58.616940
549.096680	-59.286621
554.479980	-59.906895
559.863281	-61.282249
565.246582	-62.346989
570.629883	-61.720387
576.013184	-60.580875
581.396484	-60.547874
586.779785	-60.439796
592.163086	-60.396446
597.546387	-60.914455
602.929688	-61.002457
608.312988	-60.801975
613.696289	-60.564663
619.079590	-60.602562
624.462891	-60.181843
629.846191	-59.806282
635.229492	-59.638359
640.612793	-60.774925
645.996094	-61.826923
651.379395	-62.715496
656.762695	-63.564167
662.145996	-63.933548
667.529297	-63.894329
672.912598	-63.329857
678.295898	-62.955326
683.679199	-63.255787
689.062500	-63.759254
694.445801	-64.694450
699.829102	-65.565720
705.212402	-65.083122
710.595703	-64.592133
715.979004	-64.372269
721.362305	-64.482285
726.745605	-64.465492
732.128906	-64.945602
737.512207	-65.254364
742.895508	-65.671921
748.278809	-66.186852
753.662109	-67.144310
759.045410	-67.938042
764.428711	-68.238281
769.812012	-68.079460
775.195312	-67.378128
780.578613	-65.933113
785.961914	-65.089478
791.345215	-64.334007
796.728516	-62.794304
802.111816	-61.281158
807.495117	-60.621906
812.878418	-59.890427
818.261719	-59.842598
823.645020	-59.693233
829.028320	-59.366081
834.411621	-59.648174
839.794922	-59.921478
845.178223	-60.439827
850.561523	-61.683464
855.944824	-64.016449
861.328125	-66.681107
866.711426	-68.093712
872.094727	-68.918610
877.478027	-69.181023
882.861328	-67.879288
888.244629	-66.644867
893.627930	-66.559982
899.011230	-67.325172
904.394531	-67.627800
909.777832	-66.781029
915.161133	-66.157753
920.544434	-65.728966
925.927734	-65.961983
931.311035	-66.175606
936.694336	-65.931999
942.077637	-65.629250
947.460938	-64.508751
952.844238	-63.972069
958.227539	-63.305553
963.610840	-62.595692
968.994141	-62.271545
974.377441	-62.577454
979.760742	-62.605869
985.144043	-62.169094
990.527344	-63.110439
995.910645	-63.922562
1001.293945	-64.224876
1006.677246	-64.667130
1012.060547	-65.099136
1017.443848	-65.890671
1022.827148	-66.601395
1028.210449	-66.703918
1033.593750	-66.976013
1038.977051	-67.627235
1044.360352	-68.457535
1049.743652	-68.584183
1055.126953	-68.578857
1060.510254	-68.883942
1065.893555	-69.010490
1071.276855	-69.902832
1076.660156	-69.283257
1082.043457	-68.650787
1087.426758	-67.806854
1092.810059	-66.705940
1098.193359	-65.753227
1103.576660	-65.548393
1108.959961	-65.895409
1114.343262	-66.505959
1119.726562	-67.119637
1125.109863	-67.016632
1130.493164	-67.168350
1135.876465	-67.884727
1141.259766	-67.242935
1146.643066	-66.822220
1152.026367	-67.648918
1157.409668	-68.304779
1162.792969	-68.176651
1168.176270	-68.321793
1173.559570	-68.995468
1178.942871	-69.394234
1184.326172	-68.976280
1189.709473	-68.988846
1195.092773	-69.486099
1200.476074	-70.139664
1205.859375	-71.520538
1211.242676	-72.522041
1216.625977	-73.111809
1222.009277	-73.817963
1227.392578	-73.945557
1232.775879	-74.093338
1238.159180	-74.766373
1243.542480	-74.475761
1248.925781	-74.530350
1254.309082	-74.309975
1259.692383	-72.793953
1265.075684	-71.568085
1270.458984	-70.896400
1275.842285	-69.838959
1281.225586	-69.251244
1286.608887	-69.232834
1291.992188	-69.173340
1297.375488	-68.002823
1302.758789	-61.681263
1308.142090	-62.728920
1313.525391	-68.074249
1318.908691	-67.755775
1324.291992	-67.722122
1329.675293	-67.366714
1335.058594	-67.612221
1340.441895	-68.015724
1345.825195	-68.102890
1351.208496	-68.622498
1356.591797	-68.809624
1361.975098	-69.879082
1367.358398	-70.366943
1372.741699	-70.446663
1378.125000	-69.762581
1383.508301	-69.497963
1388.891602	-70.487152
1394.274902	-71.451408
1399.658203	-71.303596
1405.041504	-71.654579
1410.424805	-70.789375
1415.808105	-70.467316
1421.191406	-70.119652
1426.574707	-69.293076
1431.958008	-69.936661
1437.341309	-71.010605
1442.724609	-72.176071
1448.107910	-72.523010
1453.491211	-71.534851
1458.874512	-70.756584
1464.257812	-69.583832
1469.641113	-68.683296
1475.024414	-68.845253
1480.407715	-69.758759
1485.791016	-70.172768
1491.174316	-70.586746
1496.557617	-70.800323
1501.940918	-70.188507
1507.324219	-69.510422
1512.707520	-69.585655
1518.090820	-70.211624
1523.474121	-70.587639
1528.857422	-71.265839
1534.240723	-72.240105
1539.624023	-72.723053
1545.007324	-72.338196
1550.390625	-72.623520
1555.773926	-71.600327
1561.157227	-71.071724
1566.540527	-71.271721
1571.923828	-71.721878
1577.307129	-72.441742
1582.690430	-72.917091
1588.073730	-72.241982
1593.457031	-71.760452
1598.840332	-71.813690
1604.223633	-71.965599
1609.606934	-73.041786
