Frequency (Hz)	Level (dB)
5.383301	-81.819069
10.766602	-82.157066
16.149902	-65.064377
21.533203	-51.756470
26.916504	-53.538025
32.299805	-57.697624
37.683105	-56.835850
43.066406	-53.384144
48.449707	-51.756542
53.833008	-55.724270
59.216309	-60.408264
64.599609	-61.095070
69.982910	-55.829132
75.366211	-58.603748
80.749512	-60.749809
86.132812	-61.762791
91.516113	-61.288990
96.899414	-60.679939
102.282715	-60.957462
107.666016	-60.542103
113.049316	-57.976936
118.432617	-57.377197
123.815918	-63.413849
129.199219	-64.509453
134.582520	-63.294140
139.965820	-64.813118
145.349121	-64.068436
150.732422	-60.338890
156.115723	-66.637253
161.499023	-66.941322
166.882324	-67.443001
172.265625	-69.218849
177.648926	-69.006538
183.032227	-64.372643
188.415527	-60.520668
193.798828	-66.448853
199.182129	-70.196121
204.565430	-70.518295
209.948730	-68.034065
215.332031	-68.200623
220.715332	-66.553467
226.098633	-64.752319
231.481934	-65.539101
236.865234	-66.075584
242.248535	-66.481667
247.631836	-68.816658
253.015137	-69.501312
258.398438	-69.389732
263.781738	-67.594948
269.165039	-70.399040
274.548340	-68.553810
279.931641	-65.370171
285.314941	-67.202080
290.698242	-68.897224
296.081543	-69.831711
301.464844	-68.659203
306.848145	-69.072418
312.231445	-69.004417
317.614746	-68.047783
322.998047	-67.684433
328.381348	-69.388275
333.764648	-69.547523
339.147949	-69.018517
344.531250	-70.432861
349.914551	-70.758438
355.297852	-71.302101
360.681152	-68.896637
366.064453	-70.458534
371.447754	-67.478569
376.831055	-68.071373
382.214355	-68.590019
387.597656	-69.315697
392.980957	-71.025108
398.364258	-71.973923
403.747559	-74.839485
409.130859	-74.024918
414.514160	-73.210579
419.897461	-72.255852
425.280762	-71.050240
430.664062	-71.091103
436.047363	-72.651299
441.430664	-72.431473
446.813965	-73.085915
452.197266	-72.543022
457.580566	-72.848419
462.963867	-73.630501
468.347168	-73.962601
473.730469	-74.426476
479.113770	-72.577698
484.497070	-71.095863
489.880371	-71.094597
495.263672	-72.624481
500.646973	-73.173698
506.030273	-72.036606
511.413574	-69.497345
516.796875	-67.713173
522.180176	-68.023994
527.563477	-68.984932
532.946777	-69.051201
538.330078	-70.229721
543.713379	-72.703308
549.096680	-74.477531
