Frequency (Hz)	Level (dB)
5.383301	-80.910248
10.766602	-80.007294
16.149902	-67.743179
21.533203	-56.981400
26.916504	-57.589722
32.299805	-52.881828
37.683105	-49.338982
43.066406	-47.975811
48.449707	-45.291695
53.833008	-44.760689
59.216309	-45.119289
64.599609	-44.255512
69.982910	-41.743679
75.366211	-39.212914
80.749512	-39.024841
86.132812	-40.792183
91.516113	-41.739105
96.899414	-40.146225
102.282715	-38.350792
107.666016	-39.035885
113.049316	-40.382462
118.432617	-42.973560
123.815918	-45.894432
129.199219	-46.415607
134.582520	-47.967278
139.965820	-49.409267
145.349121	-49.475952
150.732422	-48.335194
156.115723	-47.789768
161.499023	-47.949142
166.882324	-48.177883
172.265625	-48.588467
177.648926	-49.034798
183.032227	-49.891045
188.415527	-49.198524
193.798828	-49.672260
199.182129	-50.765991
204.565430	-52.413937
209.948730	-52.856602
215.332031	-52.750813
220.715332	-53.163704
226.098633	-52.195583
231.481934	-51.696068
236.865234	-51.694359
242.248535	-52.082424
247.631836	-53.018738
253.015137	-53.649860
258.398438	-54.266514
263.781738	-54.874874
269.165039	-55.381439
274.548340	-56.704468
279.931641	-58.336761
285.314941	-58.424950
290.698242	-57.880749
296.081543	-57.545036
301.464844	-57.312065
306.848145	-56.219532
312.231445	-54.398609
317.614746	-53.433659
322.998047	-52.382854
328.381348	-51.000443
333.764648	-51.362091
339.147949	-52.440742
344.531250	-53.760853
349.914551	-55.500793
355.297852	-56.436111
360.681152	-57.007751
366.064453	-57.524090
371.447754	-58.395126
376.831055	-58.115387
382.214355	-58.117176
387.597656	-57.363716
392.980957	-56.843830
398.364258	-56.774548
403.747559	-56.845055
409.130859	-56.968536
414.514160	-58.018581
419.897461	-58.603935
425.280762	-59.059547
430.664062	-59.600227
436.047363	-59.859608
441.430664	-61.032707
446.813965	-61.342384
452.197266	-62.455711
457.580566	-63.186760
462.963867	-63.409660
468.347168	-63.685997
473.730469	-63.831215
479.113770	-63.629448
484.497070	-62.245304
489.880371	-60.700336
495.263672	-60.109425
500.646973	-58.843021
506.030273	-57.939198
511.413574	-57.581341
516.796875	-57.370365
522.180176	-57.693707
527.563477	-58.194710
532.946777	-57.433121
538.330078	-58.612019
543.713379	-60.590420
549.096680	-60.719860
554.479980	-61.768349
559.863281	-62.594475
565.246582	-63.256271
570.629883	-63.672974
576.013184	-62.237633
581.396484	-57.653248
586.779785	-59.053566
592.163086	-61.388397
597.546387	-60.510006
602.929688	-60.171700
608.312988	-59.350117
613.696289	-59.038372
619.079590	-60.185551
624.462891	-60.653950
629.846191	-60.382271
635.229492	-60.949913
640.612793	-61.851082
645.996094	-62.294529
651.379395	-62.386883
656.762695	-62.713730
662.145996	-62.830772
667.529297	-62.379345
672.912598	-62.441975
678.295898	-62.604839
683.679199	-63.543346
689.062500	-64.306892
694.445801	-65.369743
699.829102	-66.118996
705.212402	-66.568130
710.595703	-66.904907
715.979004	-66.747444
721.362305	-66.244957
726.745605	-66.294342
732.128906	-65.909584
737.512207	-65.107018
742.895508	-64.416519
748.278809	-63.931881
753.662109	-63.360180
759.045410	-63.691330
764.428711	-63.802971
769.812012	-64.769722
775.195312	-65.358963
780.578613	-64.995430
785.961914	-65.360336
791.345215	-65.937065
796.728516	-66.650169
802.111816	-67.109947
807.495117	-66.778900
812.878418	-66.413116
818.261719	-66.190926
823.645020	-65.911476
829.028320	-64.914215
834.411621	-64.851273
839.794922	-65.183365
845.178223	-64.967575
850.561523	-64.639954
855.944824	-64.168411
861.328125	-63.299114
866.711426	-62.745102
872.094727	-62.038364
877.478027	-61.969612
882.861328	-61.959461
888.244629	-62.510792
893.627930	-63.030212
899.011230	-63.334072
904.394531	-63.459282
909.777832	-64.196625
915.161133	-64.187622
920.544434	-64.018318
925.927734	-64.127769
931.311035	-64.274399
936.694336	-64.730408
942.077637	-65.449715
947.460938	-66.560699
952.844238	-67.451355
958.227539	-67.830910
963.610840	-68.366585
968.994141	-68.652191
974.377441	-69.079575
979.760742	-68.939659
985.144043	-69.002441
990.527344	-69.130051
995.910645	-68.727722
1001.293945	-68.787201
1006.677246	-69.462082
1012.060547	-68.874893
1017.443848	-67.989182
1022.827148	-67.465195
1028.210449	-67.030083
1033.593750	-67.045105
1038.977051	-66.062714
1044.360352	-66.084206
1049.743652	-67.051765
1055.126953	-67.456436
1060.510254	-66.693657
1065.893555	-66.028862
1071.276855	-66.152977
1076.660156	-66.786720
1082.043457	-66.435341
1087.426758	-65.668381
1092.810059	-64.226830
1098.193359	-64.076698
1103.576660	-64.298836
1108.959961	-64.082672
1114.343262	-63.984299
1119.726562	-64.236168
1125.109863	-64.316055
1130.493164	-65.711060
1135.876465	-66.601700
1141.259766	-67.268867
1146.643066	-67.129135
1152.026367	-66.868141
1157.409668	-66.876076
1162.792969	-65.850418
1168.176270	-65.555603
1173.559570	-69.918846
1178.942871	-72.099411
1184.326172	-72.987610
1189.709473	-72.329857
1195.092773	-71.499397
1200.476074	-70.937813
1205.859375	-70.912766
1211.242676	-71.010269
1216.625977	-70.688919
1222.009277	-71.739059
1227.392578	-72.748367
1232.775879	-73.283958
1238.159180	-74.287216
1243.542480	-73.709412
1248.925781	-72.612297
1254.309082	-72.140083
1259.692383	-71.656593
1265.075684	-70.805061
1270.458984	-70.291962
1275.842285	-68.895874
1281.225586	-67.856621
