Frequency (Hz)	Level (dB)
5.383301	-87.509033
10.766602	-85.605011
16.149902	-69.026779
21.533203	-58.089832
26.916504	-58.651508
32.299805	-54.716053
37.683105	-52.200676
43.066406	-51.793922
48.449707	-50.289566
53.833008	-48.811020
59.216309	-50.627022
64.599609	-50.626019
69.982910	-49.321136
75.366211	-57.488132
80.749512	-56.148022
86.132812	-53.267727
91.516113	-49.868752
96.899414	-49.709000
102.282715	-44.710598
107.666016	-52.129913
113.049316	-55.391651
118.432617	-56.426537
123.815918	-61.704956
129.199219	-62.393051
134.582520	-59.950249
139.965820	-61.239433
145.349121	-64.535912
150.732422	-66.338524
156.115723	-69.541077
161.499023	-69.687241
166.882324	-68.672821
172.265625	-68.330299
177.648926	-67.734779
183.032227	-66.082535
188.415527	-64.102531
193.798828	-66.823029
199.182129	-62.973396
204.565430	-61.848248
209.948730	-64.679001
215.332031	-65.064453
220.715332	-64.237633
226.098633	-60.740593
231.481934	-61.350712
236.865234	-66.421501
242.248535	-67.813026
247.631836	-69.718575
253.015137	-70.444618
258.398438	-70.352272
263.781738	-72.496933
269.165039	-74.782051
274.548340	-73.498909
279.931641	-71.627983
285.314941	-71.375977
290.698242	-74.702866
296.081543	-77.106071
301.464844	-76.758774
306.848145	-75.829605
312.231445	-72.627571
317.614746	-71.470505
322.998047	-72.857773
328.381348	-72.797012
333.764648	-74.123985
339.147949	-72.104248
344.531250	-70.689949
349.914551	-72.678055
355.297852	-74.613472
360.681152	-72.083405
366.064453	-71.921005
371.447754	-71.366920
376.831055	-71.195496
382.214355	-72.159477
387.597656	-72.177856
392.980957	-70.859489
398.364258	-69.147820
403.747559	-67.295242
409.130859	-65.944313
414.514160	-68.903694
419.897461	-72.615616
425.280762	-72.758095
430.664062	-71.722191
436.047363	-70.637444
441.430664	-72.329369
446.813965	-72.448914
452.197266	-72.017891
457.580566	-71.160286
462.963867	-71.958160
468.347168	-72.460464
473.730469	-72.750305
479.113770	-74.862007
484.497070	-76.189095
489.880371	-74.978905
495.263672	-73.997375
500.646973	-72.700958
506.030273	-70.714294
511.413574	-70.464233
516.796875	-69.724487
522.180176	-69.337257
527.563477	-72.666847
532.946777	-74.743851
538.330078	-75.603470
543.713379	-74.022087
549.096680	-73.255325
554.479980	-73.445137
559.863281	-73.194351
565.246582	-73.807068
570.629883	-74.269707
576.013184	-73.071472
581.396484	-73.129318
586.779785	-73.251526
592.163086	-71.834534
597.546387	-71.007622
602.929688	-72.231773
608.312988	-71.739624
613.696289	-72.016151
619.079590	-73.322273
624.462891	-77.354980
629.846191	-77.617897
635.229492	-76.624252
640.612793	-77.294319
645.996094	-78.139153
651.379395	-79.779175
656.762695	-79.589584
662.145996	-79.794136
667.529297	-79.374199
672.912598	-77.540833
678.295898	-77.699593
683.679199	-79.972206
689.062500	-81.250473
694.445801	-81.008011
699.829102	-81.748344
705.212402	-81.490646
710.595703	-81.701469
715.979004	-82.734795
721.362305	-84.309822
726.745605	-83.648125
732.128906	-83.093506
737.512207	-82.724037
742.895508	-80.940636
748.278809	-80.932198
753.662109	-82.054817
759.045410	-83.423203
764.428711	-83.139801
769.812012	-82.694557
775.195312	-82.756660
780.578613	-83.818474
785.961914	-83.317993
791.345215	-82.749077
796.728516	-82.234299
802.111816	-81.471901
807.495117	-80.251297
812.878418	-76.756851
818.261719	-80.926353
823.645020	-84.261871
829.028320	-84.073997
834.411621	-83.667564
839.794922	-83.488319
845.178223	-82.615807
850.561523	-82.173935
855.944824	-83.294243
861.328125	-83.861214
866.711426	-83.846794
872.094727	-84.685257
877.478027	-85.016930
882.861328	-85.383606
888.244629	-85.047470
893.627930	-83.993835
899.011230	-82.390610
904.394531	-81.504761
909.777832	-83.112831
915.161133	-84.453651
920.544434	-86.366783
925.927734	-87.038498
931.311035	-86.262474
936.694336	-84.676674
942.077637	-84.517654
947.460938	-84.039696
952.844238	-85.774925
958.227539	-86.197922
963.610840	-84.787811
968.994141	-84.314873
974.377441	-83.296852
979.760742	-82.197998
985.144043	-82.703987
990.527344	-84.078789
995.910645	-80.839859
1001.293945	-78.886124
1006.677246	-86.335670
1012.060547	-85.288696
1017.443848	-81.719917
1022.827148	-86.404854
1028.210449	-87.820793
1033.593750	-87.102364
1038.977051	-87.013016
1044.360352	-86.415947
1049.743652	-84.741150
1055.126953	-84.307518
1060.510254	-83.473129
1065.893555	-80.982666
1071.276855	-79.351761
1076.660156	-78.533325
1082.043457	-79.744125
1087.426758	-81.772224
1092.810059	-82.254944
1098.193359	-82.018417
1103.576660	-82.768951
1108.959961	-85.070457
1114.343262	-87.121140
1119.726562	-87.910873
1125.109863	-87.293053
1130.493164	-87.759094
1135.876465	-88.155418
1141.259766	-88.587959
1146.643066	-88.362045
1152.026367	-88.292564
1157.409668	-88.307915
1162.792969	-87.406548
1168.176270	-88.196976
1173.559570	-85.672012
1178.942871	-86.621048
1184.326172	-85.191330
1189.709473	-83.746841
1195.092773	-85.484604
1200.476074	-87.626411
1205.859375	-88.886726
1211.242676	-88.094292
1216.625977	-84.274818
1222.009277	-83.567635
1227.392578	-89.026794
1232.775879	-88.225365
1238.159180	-86.141220
1243.542480	-88.179108
1248.925781	-86.661194
1254.309082	-87.431076
1259.692383	-87.896919
1265.075684	-87.530876
1270.458984	-85.996338
1275.842285	-85.015785
1281.225586	-85.166382
1286.608887	-86.120956
1291.992188	-86.963730
1297.375488	-86.931435
1302.758789	-86.258995
1308.142090	-85.867859
1313.525391	-85.357666
1318.908691	-85.670799
1324.291992	-84.790062
1329.675293	-85.683762
1335.058594	-85.838402
1340.441895	-86.156784
1345.825195	-85.936508
1351.208496	-85.779366
1356.591797	-87.804733
1361.975098	-88.211929
1367.358398	-89.395821
1372.741699	-89.437370
1378.125000	-90.046486
1383.508301	-89.569359
1388.891602	-88.394287
1394.274902	-89.157570
1399.658203	-88.688919
1405.041504	-89.034370
1410.424805	-87.854424
1415.808105	-87.198898
1421.191406	-85.818840
1426.574707	-85.175278
1431.958008	-85.846451
1437.341309	-85.124619
1442.724609	-87.432632
1448.107910	-88.075127
1453.491211	-88.327339
1458.874512	-88.448334
1464.257812	-87.894928
1469.641113	-88.603043
1475.024414	-88.950272
1480.407715	-89.652245
1485.791016	-89.655441
1491.174316	-90.290993
1496.557617	-90.211601
1501.940918	-89.405937
1507.324219	-90.947556
1512.707520	-90.763840
1518.090820	-89.703049
1523.474121	-89.436424
1528.857422	-89.068764
1534.240723	-89.046509
1539.624023	-88.316948
1545.007324	-88.420143
1550.390625	-87.676468
1555.773926	-88.682274
1561.157227	-88.211395
1566.540527	-87.332741
1571.923828	-86.639076
1577.307129	-85.702759
1582.690430	-85.559570
1588.073730	-86.260757
1593.457031	-87.344620
1598.840332	-88.686226
1604.223633	-90.311813
1609.606934	-90.516365
1614.990234	-90.296066
1620.373535	-89.777985
1625.756836	-84.355469
1631.140137	-86.216713
1636.523438	-86.864639
1641.906738	-86.130203
1647.290039	-86.608269
1652.673340	-86.929146
1658.056641	-86.863998
1663.439941	-85.829628
1668.823242	-85.931877
1674.206543	-86.100342
1679.589844	-87.601715
1684.973145	-88.428940
1690.356445	-88.454002
1695.739746	-89.614983
1701.123047	-90.128159
1706.506348	-89.998055
1711.889648	-90.020630
1717.272949	-90.475098
1722.656250	-90.719048
1728.039551	-91.199364
1733.422852	-90.967773
1738.806152	-90.237213
1744.189453	-89.612762
1749.572754	-88.853203
1754.956055	-89.160439
1760.339355	-89.445663
1765.722656	-89.876793
1771.105957	-90.774666
1776.489258	-90.742485
1781.872559	-89.789024
1787.255859	-90.307281
1792.639160	-90.376328
1798.022461	-90.181847
1803.405762	-90.706055
1808.789062	-90.935005
1814.172363	-90.459213
1819.555664	-90.579865
1824.938965	-89.954094
1830.322266	-89.339890
1835.705566	-89.366028
1841.088867	-90.018013
1846.472168	-89.917877
1851.855469	-89.550819
1857.238770	-90.008301
1862.622070	-89.718224
