Frequency (Hz)	Level (dB)
5.383301	-78.469864
10.766602	-77.799820
16.149902	-67.625198
21.533203	-56.682266
26.916504	-57.660583
32.299805	-52.544529
37.683105	-48.934891
43.066406	-47.594585
48.449707	-45.943905
53.833008	-39.843937
59.216309	-38.666550
64.599609	-42.524040
69.982910	-42.047249
75.366211	-41.608044
80.749512	-39.494461
86.132812	-38.399719
91.516113	-36.557465
96.899414	-36.868732
102.282715	-36.910500
107.666016	-37.916126
113.049316	-39.096828
118.432617	-42.239891
123.815918	-43.640732
129.199219	-43.185856
134.582520	-44.535088
139.965820	-45.848484
145.349121	-46.156624
150.732422	-45.417206
156.115723	-44.814865
161.499023	-44.577366
166.882324	-43.534187
172.265625	-44.461655
177.648926	-45.527420
183.032227	-45.680023
188.415527	-46.144520
193.798828	-46.950935
199.182129	-48.152157
204.565430	-49.126469
209.948730	-49.807533
215.332031	-50.048103
220.715332	-50.488842
226.098633	-49.443989
231.481934	-49.078880
236.865234	-49.089355
242.248535	-49.660202
247.631836	-50.307926
253.015137	-50.555878
258.398438	-51.058315
263.781738	-51.486904
269.165039	-52.212692
274.548340	-53.275459
279.931641	-54.015564
285.314941	-53.519630
290.698242	-53.682255
296.081543	-53.115536
301.464844	-52.676083
306.848145	-51.547642
312.231445	-50.476742
317.614746	-49.046043
322.998047	-47.790062
328.381348	-47.263367
333.764648	-47.812859
339.147949	-49.193127
344.531250	-51.355282
349.914551	-52.680412
355.297852	-53.665276
360.681152	-53.952560
366.064453	-54.501896
371.447754	-55.240532
376.831055	-54.494251
382.214355	-53.804241
387.597656	-53.431538
392.980957	-53.579014
398.364258	-53.562355
403.747559	-52.841530
409.130859	-53.374035
414.514160	-53.790401
419.897461	-54.815838
425.280762	-55.415295
430.664062	-56.261837
436.047363	-56.889698
441.430664	-56.883087
446.813965	-57.126560
452.197266	-58.219814
457.580566	-58.675320
462.963867	-59.429878
468.347168	-59.817272
473.730469	-59.752201
479.113770	-59.336414
484.497070	-57.989124
489.880371	-56.776505
495.263672	-55.385201
500.646973	-54.026695
506.030273	-53.760334
511.413574	-53.044426
516.796875	-52.772629
522.180176	-53.258484
527.563477	-53.821053
532.946777	-55.251762
538.330078	-56.061867
543.713379	-57.185127
549.096680	-57.962494
554.479980	-58.140224
559.863281	-58.762402
565.246582	-59.631325
570.629883	-59.228561
576.013184	-59.734608
581.396484	-60.072029
586.779785	-58.973671
592.163086	-58.051720
597.546387	-57.667873
602.929688	-57.329117
608.312988	-56.206898
613.696289	-56.212814
619.079590	-56.194538
624.462891	-56.648132
629.846191	-57.320118
635.229492	-58.601791
640.612793	-58.939823
645.996094	-59.200138
651.379395	-60.054996
656.762695	-60.223137
662.145996	-60.127029
667.529297	-59.904213
672.912598	-59.583946
678.295898	-59.365219
683.679199	-59.910404
689.062500	-60.986080
694.445801	-62.289494
699.829102	-63.506958
705.212402	-64.188408
710.595703	-64.062164
715.979004	-63.779190
721.362305	-63.836407
726.745605	-62.704659
732.128906	-62.229584
737.512207	-61.033100
742.895508	-59.912243
748.278809	-59.755531
753.662109	-59.316589
759.045410	-59.555126
764.428711	-60.068089
769.812012	-59.889023
775.195312	-60.187546
780.578613	-60.774422
785.961914	-61.674332
791.345215	-62.502956
796.728516	-63.379627
802.111816	-64.021500
807.495117	-64.798096
812.878418	-64.425148
818.261719	-63.340759
823.645020	-62.802670
829.028320	-62.749790
834.411621	-62.130398
839.794922	-61.817646
845.178223	-61.637924
850.561523	-61.239819
855.944824	-60.383575
861.328125	-60.286648
866.711426	-59.567432
872.094727	-58.733521
877.478027	-58.386013
882.861328	-58.585072
888.244629	-58.591515
893.627930	-59.096790
899.011230	-59.795986
904.394531	-60.238255
909.777832	-61.388241
915.161133	-61.930531
920.544434	-61.526733
925.927734	-61.354496
931.311035	-61.875042
936.694336	-62.421486
942.077637	-63.208176
947.460938	-64.016747
952.844238	-64.361549
958.227539	-63.861362
963.610840	-64.318306
968.994141	-64.751831
974.377441	-65.195068
979.760742	-65.288055
985.144043	-65.664871
990.527344	-66.117554
995.910645	-66.452103
1001.293945	-66.278687
1006.677246	-65.907082
1012.060547	-65.525764
1017.443848	-64.576675
1022.827148	-63.598007
1028.210449	-62.903111
1033.593750	-62.738571
1038.977051	-62.099209
1044.360352	-62.286560
1049.743652	-62.825264
1055.126953	-62.812141
1060.510254	-62.761600
1065.893555	-63.067657
1071.276855	-63.317097
1076.660156	-63.901981
1082.043457	-63.411198
1087.426758	-62.208710
1092.810059	-62.460381
1098.193359	-61.966228
1103.576660	-60.855095
1108.959961	-60.656475
1114.343262	-60.876949
1119.726562	-61.940502
1125.109863	-62.200058
1130.493164	-62.154705
1135.876465	-62.677658
1141.259766	-62.234947
1146.643066	-62.282352
1152.026367	-62.968960
1157.409668	-64.022270
1162.792969	-65.254395
1168.176270	-67.652985
1173.559570	-68.526001
1178.942871	-69.075371
1184.326172	-68.779778
1189.709473	-67.594505
1195.092773	-66.162567
1200.476074	-65.653702
1205.859375	-66.209480
1211.242676	-66.459702
1216.625977	-66.980690
1222.009277	-68.139343
1227.392578	-69.205528
1232.775879	-69.861176
1238.159180	-69.726868
1243.542480	-69.395172
1248.925781	-68.553467
1254.309082	-67.806686
1259.692383	-67.290245
1265.075684	-66.062881
1270.458984	-65.458290
1275.842285	-64.884880
1281.225586	-63.848629
1286.608887	-63.210117
1291.992188	-63.416740
1297.375488	-64.102135
1302.758789	-64.147255
1308.142090	-64.412056
1313.525391	-64.719322
1318.908691	-65.898018
1324.291992	-66.518600
1329.675293	-66.597061
1335.058594	-66.945335
1340.441895	-68.747040
1345.825195	-69.594215
1351.208496	-70.180107
1356.591797	-70.275543
1361.975098	-69.469536
1367.358398	-68.070168
1372.741699	-67.813179
1378.125000	-68.526993
1383.508301	-67.775490
1388.891602	-66.982002
1394.274902	-66.182526
1399.658203	-65.870369
1405.041504	-66.111031
1410.424805	-66.319427
1415.808105	-66.865379
1421.191406	-66.245049
1426.574707	-65.714569
1431.958008	-64.915558
1437.341309	-64.839203
1442.724609	-64.847633
1448.107910	-64.749443
1453.491211	-65.430336
1458.874512	-65.557426
1464.257812	-65.347954
1469.641113	-65.463387
1475.024414	-65.883698
1480.407715	-66.378998
1485.791016	-66.865562
1491.174316	-67.841270
1496.557617	-68.282776
1501.940918	-68.415291
1507.324219	-68.308067
1512.707520	-68.112556
1518.090820	-67.756706
1523.474121	-67.149704
