Frequency (Hz)	Level (dB)
5.383301	-80.889633
10.766602	-79.842178
16.149902	-72.694298
21.533203	-56.739231
26.916504	-51.075291
32.299805	-50.943634
37.683105	-51.718472
43.066406	-52.269112
48.449707	-41.018780
53.833008	-38.832081
59.216309	-42.413712
64.599609	-42.470951
69.982910	-41.842648
75.366211	-41.237587
80.749512	-39.605247
86.132812	-39.230286
91.516113	-40.019638
96.899414	-41.724129
102.282715	-42.099670
107.666016	-41.398655
113.049316	-41.677837
118.432617	-42.976257
123.815918	-44.219296
129.199219	-44.651970
134.582520	-45.327572
139.965820	-44.647667
145.349121	-44.925797
150.732422	-45.462238
156.115723	-44.569702
161.499023	-43.962990
166.882324	-45.494251
172.265625	-48.168724
177.648926	-48.898243
183.032227	-49.177135
188.415527	-50.427544
193.798828	-51.686356
199.182129	-52.573441
204.565430	-52.736530
209.948730	-52.268398
215.332031	-52.597191
220.715332	-52.020641
226.098633	-50.297478
231.481934	-49.096706
236.865234	-49.348904
242.248535	-49.707817
247.631836	-50.285122
253.015137	-51.018467
258.398438	-51.580917
263.781738	-51.113667
269.165039	-51.376282
274.548340	-52.635883
279.931641	-53.787033
285.314941	-53.978073
290.698242	-54.393826
296.081543	-53.464298
301.464844	-52.876804
306.848145	-52.757164
312.231445	-51.511822
317.614746	-50.574520
322.998047	-49.729527
328.381348	-49.385292
333.764648	-49.381813
339.147949	-49.628235
344.531250	-49.542141
349.914551	-49.487568
355.297852	-50.152260
360.681152	-50.305588
366.064453	-50.165691
371.447754	-49.916473
376.831055	-50.047634
382.214355	-50.333473
387.597656	-50.022388
392.980957	-50.756771
398.364258	-51.537971
403.747559	-51.782013
409.130859	-51.725018
414.514160	-51.979969
419.897461	-51.318188
425.280762	-51.171017
430.664062	-51.704193
436.047363	-52.272079
441.430664	-51.923462
446.813965	-51.515507
452.197266	-52.645660
457.580566	-53.230785
462.963867	-53.556019
468.347168	-53.771450
473.730469	-54.269409
479.113770	-54.133549
484.497070	-54.056046
489.880371	-54.311577
495.263672	-54.185143
500.646973	-54.036808
506.030273	-53.840763
511.413574	-53.665131
516.796875	-53.578804
522.180176	-52.913475
527.563477	-53.128807
532.946777	-52.301777
538.330078	-50.773396
543.713379	-50.752350
549.096680	-50.868034
554.479980	-50.547260
559.863281	-50.082069
565.246582	-50.272709
570.629883	-50.802784
576.013184	-51.373650
581.396484	-52.216602
586.779785	-52.775547
592.163086	-53.003155
597.546387	-53.347725
602.929688	-52.889194
608.312988	-52.347954
613.696289	-52.497925
619.079590	-53.800556
624.462891	-54.992867
629.846191	-55.713867
635.229492	-56.519958
640.612793	-57.420284
645.996094	-58.063377
651.379395	-58.087383
656.762695	-58.136913
662.145996	-58.634758
667.529297	-58.933674
672.912598	-58.935188
678.295898	-58.647095
683.679199	-57.946781
689.062500	-57.337879
694.445801	-56.769459
699.829102	-55.070564
705.212402	-54.787067
710.595703	-54.209999
715.979004	-54.168499
721.362305	-54.646610
726.745605	-54.027428
732.128906	-53.650208
737.512207	-54.542629
742.895508	-54.178364
748.278809	-53.753609
753.662109	-53.887016
759.045410	-53.279579
764.428711	-52.495422
769.812012	-52.117367
775.195312	-52.124355
780.578613	-52.380886
785.961914	-52.044369
791.345215	-52.842049
796.728516	-53.772022
802.111816	-54.413357
807.495117	-54.778614
812.878418	-55.286461
818.261719	-56.146729
823.645020	-55.971210
829.028320	-55.605598
834.411621	-55.620453
839.794922	-56.577927
845.178223	-57.250912
850.561523	-57.779018
855.944824	-58.639145
861.328125	-59.154610
866.711426	-59.558689
872.094727	-60.264946
877.478027	-59.661510
882.861328	-59.675743
888.244629	-59.512291
893.627930	-59.396889
899.011230	-60.128185
904.394531	-59.421070
909.777832	-59.622944
915.161133	-60.039066
920.544434	-59.766418
925.927734	-59.277618
931.311035	-59.658516
936.694336	-59.532337
942.077637	-59.092670
947.460938	-59.264660
952.844238	-59.496460
958.227539	-60.098076
963.610840	-60.285870
968.994141	-60.699867
974.377441	-60.863358
979.760742	-60.450821
985.144043	-60.132915
990.527344	-60.087879
995.910645	-59.938694
1001.293945	-60.230629
1006.677246	-60.626656
1012.060547	-60.719845
1017.443848	-60.627541
1022.827148	-60.885830
1028.210449	-60.909809
1033.593750	-60.456688
1038.977051	-60.983448
1044.360352	-61.437290
1049.743652	-61.528694
1055.126953	-61.717350
1060.510254	-62.138012
1065.893555	-63.037872
1071.276855	-62.920849
1076.660156	-62.212421
1082.043457	-62.714291
1087.426758	-62.684814
1092.810059	-62.830799
1098.193359	-63.385445
1103.576660	-62.100780
1108.959961	-61.406021
1114.343262	-61.417183
1119.726562	-61.734375
1125.109863	-62.463715
1130.493164	-62.036118
1135.876465	-62.271046
1141.259766	-61.985825
1146.643066	-61.341591
1152.026367	-60.734741
1157.409668	-60.581856
1162.792969	-59.433830
1168.176270	-59.007282
1173.559570	-58.666676
1178.942871	-58.567333
