Frequency (Hz)	Level (dB)
5.383301	-91.888924
10.766602	-87.666306
16.149902	-76.558800
21.533203	-68.120186
26.916504	-60.797840
32.299805	-60.851559
37.683105	-51.502701
43.066406	-44.922539
48.449707	-51.011379
53.833008	-57.797173
59.216309	-57.391178
64.599609	-57.947155
69.982910	-59.835045
75.366211	-60.648827
80.749512	-57.758995
86.132812	-54.536690
91.516113	-59.561947
96.899414	-62.973400
102.282715	-62.253250
107.666016	-60.677940
113.049316	-60.342140
118.432617	-59.525539
123.815918	-58.102654
129.199219	-58.253883
134.582520	-62.291267
139.965820	-67.182823
145.349121	-67.159004
150.732422	-65.662216
156.115723	-67.659042
161.499023	-69.834511
166.882324	-68.949791
172.265625	-67.950485
177.648926	-69.465034
183.032227	-72.443703
188.415527	-73.172546
193.798828	-73.810463
199.182129	-74.009811
204.565430	-73.237190
209.948730	-71.402702
215.332031	-72.535973
220.715332	-73.549042
226.098633	-71.020195
231.481934	-68.077454
236.865234	-68.618820
242.248535	-68.265648
247.631836	-67.393379
253.015137	-63.798977
258.398438	-61.204895
263.781738	-63.258148
269.165039	-72.484581
274.548340	-73.967438
279.931641	-75.688393
285.314941	-75.876564
290.698242	-75.065315
296.081543	-73.723045
301.464844	-71.024567
306.848145	-71.474754
312.231445	-72.067200
317.614746	-69.636665
322.998047	-67.194496
328.381348	-71.726662
333.764648	-73.911217
339.147949	-73.375702
344.531250	-73.434250
349.914551	-73.718338
355.297852	-76.373016
360.681152	-76.824486
366.064453	-76.164764
371.447754	-76.574303
376.831055	-75.057487
382.214355	-75.945808
387.597656	-77.384094
392.980957	-77.194862
398.364258	-74.779396
403.747559	-74.602768
409.130859	-73.589951
414.514160	-72.894455
419.897461	-73.123116
425.280762	-72.718582
430.664062	-72.855606
436.047363	-73.371147
441.430664	-74.708519
446.813965	-75.457573
452.197266	-77.120712
457.580566	-77.496315
462.963867	-75.859634
468.347168	-75.627083
473.730469	-75.372467
479.113770	-76.299454
484.497070	-76.609192
489.880371	-77.208702
495.263672	-76.569809
500.646973	-74.527481
506.030273	-73.831207
511.413574	-74.666580
516.796875	-74.679558
522.180176	-74.907974
527.563477	-74.071190
532.946777	-73.686340
538.330078	-72.300522
543.713379	-72.758636
549.096680	-73.182884
554.479980	-73.412201
559.863281	-73.742920
565.246582	-73.967735
570.629883	-75.245201
576.013184	-75.658775
581.396484	-75.149712
586.779785	-74.696167
592.163086	-74.953339
597.546387	-75.392387
602.929688	-74.279137
608.312988	-74.334892
613.696289	-75.603462
619.079590	-75.835091
624.462891	-75.388832
629.846191	-75.084999
635.229492	-76.770935
640.612793	-76.595726
645.996094	-76.948425
651.379395	-79.182762
656.762695	-79.597214
662.145996	-78.127464
667.529297	-77.187752
672.912598	-79.704811
678.295898	-80.526924
683.679199	-82.063293
689.062500	-82.271774
694.445801	-82.560440
699.829102	-82.939728
705.212402	-83.784737
710.595703	-83.733749
715.979004	-84.369354
721.362305	-83.901291
726.745605	-83.765442
732.128906	-83.415466
737.512207	-82.953163
742.895508	-82.794937
748.278809	-82.590889
753.662109	-83.473587
759.045410	-82.914925
764.428711	-80.532516
769.812012	-79.776306
775.195312	-78.630470
780.578613	-78.206909
785.961914	-77.514297
791.345215	-79.491592
796.728516	-79.551186
802.111816	-78.668144
807.495117	-79.048660
812.878418	-80.311569
818.261719	-78.272079
823.645020	-77.233574
829.028320	-78.983147
834.411621	-79.504837
839.794922	-79.493271
845.178223	-79.417534
850.561523	-79.963547
855.944824	-80.613571
861.328125	-81.178864
866.711426	-81.606155
872.094727	-82.662766
877.478027	-83.542282
882.861328	-82.640129
888.244629	-81.987274
893.627930	-82.230499
899.011230	-83.035278
904.394531	-82.128525
909.777832	-82.569977
915.161133	-83.819221
920.544434	-83.518776
925.927734	-82.552521
931.311035	-81.597023
936.694336	-81.596718
942.077637	-81.897881
947.460938	-82.680397
952.844238	-83.287590
958.227539	-84.848793
963.610840	-85.265869
968.994141	-85.020927
974.377441	-84.081734
979.760742	-84.015816
985.144043	-84.094635
990.527344	-83.607742
995.910645	-82.318184
1001.293945	-81.776703
1006.677246	-82.765465
1012.060547	-83.680740
1017.443848	-84.400070
1022.827148	-84.836189
1028.210449	-84.450615
1033.593750	-85.354866
1038.977051	-85.682106
1044.360352	-85.413376
1049.743652	-84.701027
1055.126953	-84.584473
1060.510254	-84.305298
1065.893555	-84.095245
1071.276855	-83.591209
1076.660156	-84.727654
1082.043457	-85.447502
1087.426758	-85.692230
1092.810059	-85.799973
1098.193359	-84.470596
1103.576660	-84.087540
1108.959961	-83.176109
1114.343262	-84.090561
1119.726562	-84.178864
1125.109863	-84.016029
1130.493164	-84.841537
1135.876465	-85.572914
1141.259766	-85.833374
1146.643066	-85.820374
1152.026367	-85.625824
1157.409668	-85.968864
1162.792969	-86.232193
1168.176270	-87.366768
1173.559570	-87.553589
1178.942871	-87.418808
1184.326172	-87.068016
1189.709473	-86.552338
1195.092773	-86.521530
1200.476074	-86.814034
1205.859375	-87.175308
1211.242676	-86.275009
1216.625977	-86.531975
1222.009277	-86.653358
1227.392578	-86.308929
1232.775879	-87.593964
1238.159180	-88.166977
1243.542480	-87.464165
1248.925781	-87.431221
1254.309082	-87.436554
1259.692383	-88.318718
1265.075684	-88.305992
1270.458984	-88.905212
1275.842285	-89.369766
1281.225586	-89.026077
1286.608887	-89.507233
1291.992188	-88.457535
1297.375488	-88.398521
1302.758789	-88.563194
1308.142090	-89.510696
1313.525391	-89.581169
1318.908691	-89.609970
1324.291992	-90.177361
1329.675293	-89.831192
1335.058594	-89.232895
1340.441895	-89.407188
1345.825195	-89.266670
1351.208496	-89.715668
1356.591797	-90.293488
1361.975098	-89.697693
1367.358398	-89.335556
1372.741699	-89.208412
1378.125000	-88.698395
1383.508301	-88.020485
1388.891602	-88.536125
1394.274902	-88.673500
1399.658203	-88.916649
1405.041504	-89.541100
1410.424805	-89.473015
1415.808105	-89.736412
1421.191406	-90.208618
1426.574707	-89.682823
1431.958008	-89.876122
1437.341309	-89.695580
1442.724609	-90.121246
1448.107910	-90.360519
1453.491211	-90.214485
1458.874512	-90.165955
1464.257812	-90.021873
1469.641113	-90.810066
1475.024414	-90.093971
1480.407715	-89.150635
1485.791016	-89.211517
1491.174316	-89.086678
1496.557617	-88.925957
1501.940918	-89.002197
1507.324219	-89.005692
1512.707520	-88.848846
1518.090820	-87.858589
1523.474121	-87.264839
1528.857422	-86.184090
1534.240723	-85.952888
1539.624023	-86.726257
1545.007324	-86.769226
1550.390625	-87.227783
1555.773926	-88.618584
1561.157227	-89.548759
1566.540527	-89.496178
1571.923828	-90.877716
1577.307129	-91.436340
1582.690430	-91.581490
1588.073730	-90.177147
1593.457031	-89.438240
1598.840332	-88.356247
1604.223633	-87.341370
1609.606934	-86.236572
1614.990234	-86.132355
1620.373535	-86.588821
1625.756836	-87.854294
1631.140137	-88.888565
1636.523438	-89.634148
1641.906738	-90.070152
1647.290039	-90.183258
1652.673340	-90.444160
1658.056641	-90.280098
1663.439941	-90.395294
1668.823242	-90.808487
1674.206543	-91.899376
1679.589844	-91.209831
1684.973145	-90.325974
1690.356445	-90.777519
1695.739746	-91.837112
1701.123047	-92.001122
1706.506348	-92.135155
1711.889648	-91.632820
1717.272949	-92.106499
1722.656250	-92.163361
1728.039551	-91.950836
1733.422852	-91.424309
1738.806152	-90.739174
1744.189453	-90.501564
1749.572754	-90.073807
1754.956055	-90.665230
1760.339355	-91.007423
1765.722656	-90.779915
1771.105957	-90.420898
1776.489258	-89.840630
1781.872559	-90.345871
1787.255859	-90.496513
1792.639160	-90.166267
1798.022461	-90.997673
1803.405762	-92.112984
1808.789062	-92.472122
1814.172363	-92.525238
1819.555664	-92.837662
1824.938965	-92.287910
1830.322266	-91.485199
1835.705566	-91.658173
1841.088867	-92.826447
1846.472168	-92.438217
1851.855469	-92.492783
1857.238770	-92.627983
1862.622070	-92.178055
1868.005371	-92.094833
1873.388672	-91.842194
1878.771973	-91.980675
1884.155273	-92.252899
1889.538574	-92.082710
1894.921875	-92.108635
1900.305176	-92.209503
1905.688477	-92.445923
1911.071777	-92.309341
1916.455078	-91.715019
1921.838379	-91.908844
1927.221680	-91.969925
1932.604980	-91.750504
1937.988281	-92.541908
1943.371582	-93.049362
1948.754883	-92.290596
1954.138184	-91.608986
1959.521484	-91.166344
1964.904785	-91.224022
1970.288086	-91.525352
1975.671387	-90.749146
1981.054688	-90.741753
1986.437988	-90.141655
1991.821289	-90.673691
1997.204590	-90.291924
2002.587891	-89.980034
2007.971191	-90.208984
2013.354492	-89.525566
2018.737793	-89.149498
2024.121094	-89.631477
2029.504395	-90.175697
2034.887695	-90.333122
2040.270996	-89.939888
2045.654297	-89.150833
2051.037598	-89.695679
2056.420898	-90.133736
2061.804199	-89.919792
2067.187500	-90.458588
2072.570801	-90.567093
2077.954102	-90.341743
2083.337402	-90.495338
2088.720703	-91.126518
2094.104004	-91.168564
2099.487305	-90.689613
2104.870605	-91.245514
2110.253906	-91.206329
2115.637207	-91.267776
2121.020508	-91.878433
2126.403809	-91.815697
2131.787109	-91.411224
2137.170410	-91.635513
2142.553711	-92.121872
2147.937012	-92.468491
2153.320312	-92.148041
2158.703613	-91.327736
2164.086914	-91.116409
2169.470215	-91.357224
2174.853516	-91.453316
2180.236816	-91.314964
2185.620117	-91.422653
2191.003418	-91.511711
2196.386719	-91.091293
2201.770020	-91.470467
2207.153320	-90.899818
2212.536621	-91.045555
2217.919922	-91.014412
2223.303223	-91.149811
2228.686523	-90.754868
2234.069824	-90.434471
2239.453125	-90.666451
2244.836426	-91.538246
2250.219727	-92.174843
2255.603027	-91.745773
2260.986328	-90.954483
2266.369629	-91.960114
2271.752930	-92.533745
2277.136230	-92.607216
2282.519531	-92.144386
2287.902832	-93.050117
2293.286133	-93.188072
2298.669434	-93.081573
2304.052734	-93.059715
2309.436035	-93.236671
2314.819336	-93.879982
2320.202637	-93.603661
2325.585938	-94.071449
2330.969238	-94.599396
2336.352539	-94.188034
2341.735840	-94.528099
2347.119141	-95.101204
2352.502441	-94.993759
2357.885742	-94.933197
2363.269043	-94.055634
2368.652344	-94.024887
2374.035645	-94.093025
2379.418945	-94.014282
2384.802246	-93.566437
2390.185547	-93.636406
2395.568848	-93.979767
2400.952148	-94.476540
2406.335449	-93.947441
2411.718750	-94.073967
2417.102051	-94.519363
2422.485352	-93.899040
2427.868652	-94.827888
2433.251953	-94.740486
2438.635254	-94.260582
2444.018555	-93.724403
2449.401855	-94.528099
2454.785156	-93.783852
2460.168457	-93.012840
2465.551758	-93.492821
2470.935059	-93.652374
2476.318359	-94.431931
2481.701660	-94.535690
2487.084961	-95.108452
2492.468262	-95.744377
2497.851562	-96.367638
2503.234863	-96.235733
2508.618164	-96.631683
2514.001465	-96.825142
2519.384766	-96.158455
2524.768066	-95.838867
2530.151367	-96.209946
2535.534668	-95.953659
2540.917969	-96.082787
2546.301270	-96.207695
2551.684570	-95.967995
2557.067871	-95.923462
2562.451172	-96.643860
2567.834473	-95.839836
2573.217773	-96.311424
2578.601074	-96.323021
2583.984375	-96.401596
2589.367676	-96.146660
2594.750977	-96.577141
2600.134277	-96.809364
2605.517578	-96.836121
2610.900879	-96.145706
2616.284180	-95.817444
2621.667480	-95.186455
2627.050781	-95.092178
2632.434082	-94.777122
2637.817383	-94.723053
2643.200684	-94.848145
2648.583984	-94.975883
2653.967285	-94.462494
2659.350586	-94.122238
2664.733887	-94.010841
2670.117188	-94.772736
2675.500488	-94.810417
2680.883789	-94.711960
2686.267090	-95.303391
2691.650391	-95.094757
2697.033691	-95.854881
2702.416992	-96.252106
2707.800293	-95.963051
2713.183594	-95.945007
2718.566895	-96.863739
2723.950195	-96.900826
2729.333496	-97.000885
2734.716797	-96.309181
2740.100098	-96.545891
2745.483398	-96.493561
2750.866699	-96.263397
2756.250000	-95.878983
2761.633301	-96.305824
2767.016602	-96.538002
2772.399902	-96.376076
2777.783203	-96.541443
2783.166504	-96.250397
2788.549805	-96.846756
2793.933105	-96.934006
2799.316406	-96.765915
2804.699707	-96.923599
2810.083008	-96.562332
2815.466309	-96.742355
2820.849609	-96.868568
2826.232910	-96.809059
2831.616211	-97.003929
2836.999512	-97.225258
2842.382812	-97.008804
2847.766113	-96.734406
2853.149414	-96.698303
2858.532715	-96.400520
2863.916016	-96.269554
2869.299316	-96.966881
2874.682617	-96.977592
2880.065918	-96.561821
2885.449219	-96.601555
2890.832520	-97.407997
2896.215820	-97.145256
2901.599121	-96.595215
2906.982422	-96.800903
2912.365723	-96.742401
2917.749023	-96.745697
2923.132324	-96.742210
2928.515625	-95.778557
2933.898926	-95.732559
2939.282227	-96.299782
2944.665527	-96.081085
2950.048828	-96.230949
2955.432129	-96.368492
2960.815430	-96.467461
2966.198730	-97.113564
2971.582031	-96.945518
2976.965332	-96.519829
2982.348633	-96.799858
2987.731934	-97.241272
2993.115234	-97.107239
2998.498535	-97.822258
3003.881836	-97.482498
3009.265137	-97.337570
3014.648438	-97.834908
3020.031738	-97.942001
3025.415039	-97.869392
3030.798340	-97.652740
3036.181641	-97.385254
3041.564941	-97.809380
3046.948242	-98.204819
3052.331543	-98.254593
3057.714844	-97.601379
3063.098145	-97.451591
3068.481445	-97.654587
3073.864746	-97.893372
3079.248047	-96.965599
3084.631348	-97.213982
3090.014648	-97.208405
3095.397949	-97.099968
3100.781250	-96.559418
3106.164551	-96.697372
3111.547852	-97.292267
3116.931152	-97.394470
3122.314453	-97.701988
3127.697754	-97.226486
3133.081055	-97.510590
3138.464355	-97.707985
3143.847656	-97.606407
3149.230957	-97.777725
3154.614258	-97.122131
3159.997559	-97.043266
3165.380859	-97.447258
3170.764160	-97.742340
3176.147461	-97.600662
3181.530762	-97.494438
3186.914062	-97.398506
3192.297363	-97.337059
3197.680664	-97.466858
3203.063965	-97.214920
3208.447266	-97.567184
3213.830566	-97.844238
3219.213867	-97.693184
3224.597168	-97.398323
3229.980469	-97.543785
3235.363770	-96.896164
3240.747070	-97.043251
3246.130371	-97.278931
3251.513672	-97.706230
3256.896973	-97.764221
3262.280273	-97.235405
3267.663574	-97.227295
3273.046875	-96.915436
3278.430176	-96.595238
